Age;Work_Type;Marital_Status;Level_Education;Delinquent_Credit;Housing_Credit;Personal_Credit;Contact_Month;Contact_Day_Week;Call_Duration;Number_Calls
20;8;2;0;1;1;1;2;4;2;3
52;9;1;2;1;1;0;2;1;3;5
57;10;2;3;1;0;1;4;3;4;1
32;10;1;2;0;0;1;10;4;2;5
35;7;1;0;0;1;0;3;4;4;5
20;0;1;0;1;0;0;10;1;3;2
44;2;2;0;1;0;1;4;2;3;4
36;7;1;0;1;0;0;12;2;4;3
54;6;0;3;1;1;0;2;4;4;4
26;6;1;1;0;1;1;9;2;1;1
52;0;0;2;0;0;1;7;1;3;5
23;3;1;3;1;0;0;5;2;5;3
23;7;1;2;0;0;0;4;3;4;5
31;0;1;1;0;1;1;4;1;2;5
35;4;0;0;0;0;1;3;2;4;4
23;3;0;3;0;1;1;4;3;6;2
47;7;1;3;1;0;0;8;4;2;2
21;3;1;1;0;0;1;3;5;1;5
53;3;0;3;1;0;0;5;1;1;4
38;9;1;1;1;1;1;5;4;4;4
31;9;1;3;0;1;0;9;4;6;4
34;3;1;0;1;1;1;8;1;5;3
58;6;0;2;1;1;0;2;5;1;3
39;4;0;0;1;1;0;11;1;4;1
52;6;0;3;1;0;0;2;5;2;5
48;5;2;2;1;1;0;8;3;3;5
34;1;1;3;1;0;0;10;2;5;1
29;10;0;3;0;1;0;12;5;3;2
47;0;0;3;0;0;0;11;5;6;3
24;7;1;3;1;0;1;12;5;6;1
45;7;0;1;0;0;1;7;4;4;3
46;4;2;3;1;0;1;7;3;2;4
37;8;2;3;0;0;1;10;4;3;1
58;8;1;2;1;0;0;5;1;2;3
38;6;2;1;0;0;1;10;1;5;3
55;8;2;0;1;0;1;7;3;1;5
38;7;2;1;0;0;0;7;2;4;1
21;7;0;0;1;0;0;11;2;6;4
39;7;1;2;0;0;0;9;5;5;1
49;1;1;0;1;0;1;10;4;4;2
26;2;1;3;1;0;1;5;5;1;3
33;3;1;0;0;0;0;7;2;2;3
57;7;0;2;1;1;1;7;1;1;1
57;6;1;3;0;0;0;10;3;6;3
53;0;1;1;0;0;0;8;3;1;4
44;9;0;3;1;1;1;8;4;3;4
53;4;0;2;0;0;0;12;5;5;4
54;10;0;1;0;0;1;7;3;3;4
26;1;0;2;1;1;0;2;4;3;3
50;5;1;2;0;1;0;12;3;6;4
54;0;2;3;0;1;0;9;2;2;1
23;6;2;3;1;1;0;10;4;6;3
20;3;2;1;0;1;0;4;3;5;5
53;8;1;3;1;0;0;6;4;3;5
52;2;0;2;1;0;1;10;5;4;2
34;10;2;2;1;0;1;2;1;6;3
35;0;0;1;1;0;1;7;3;5;5
56;10;2;2;1;0;0;7;1;5;5
41;9;0;3;0;0;0;3;5;5;3
40;4;1;0;1;0;0;4;5;5;5
29;10;1;1;1;1;0;3;4;1;4
57;2;0;1;0;0;0;11;4;1;1
42;7;2;2;1;1;1;9;3;2;3
42;0;0;1;1;0;0;4;1;3;1
31;1;1;3;1;1;0;7;3;5;4
